Address,Latitude,Longitude
"Ram St, Kharia Mohalla, Sabzi Mandi Old, Delhi, 110007",28.6715267,77.2030447
"398 - 399, Main Market, Old Subzi Mandi, G.T Road, (Near Robin Cinema), New Delhi, Delhi 110007",28.6508826,77.1955405
"M6F3+GV2, Main Bazar, GT Rd, Subzi Mandi, New Delhi, Delhi 110007",28.6712278,77.1990675
"2322, Main Bazar, Subzi Mandi, Delhi-110007",28.6751307,77.2009113
"74, E Park Rd, Model Basti, Karol Bagh, Delhi, 110005",28.6582842,77.2001234
"230, Gali No.7, near Gulabi Bagh, Padam Nagar, Kishan Ganj, New Delhi, Delhi, 110007",28.6629803,77.173848
"1913, Gali Haji Ismail, Pahari Bhojla, Sita Ram Bazar, Old Delhi, New Delhi, Delhi, 110006",28.6455093,77.2294142
"15/5, Old, Chandrawal, Civil Lines, New Delhi, Delhi 110054",28.6879035,77.2166134
"RGPC+QWJ, near Sai Temple, Bharat Nagar, Khasbag, Shahapur, Belagavi, Karnataka 590005",15.8411602,74.5169815
"1560/61, Maruti Galli, opp. Aradhana Clothing store, Raviwar Peth, Belagavi, Karnataka 590002",15.8577004,74.5094261
"VGHG+VGP, Shree Nagar, Belagavi, Karnataka",15.8797125,74.5237532
"1560/61, Maruti Galli, opp. Aradhana Clothing store, Raviwar Peth, Belagavi, Karnataka 590002",15.8577004,74.5094261
"6251, Gali Ishwari Prasad, Chandni Chowk, Chandni Chowk, Delhi, 110006",28.6558483,77.2210094
"D-116, Palam Colony, Raj Nagar II Extension, Palam, New Delhi, Delhi, 110077",28.5823134,77.0785148
"D-116, Palam Colony, Raj Nagar II Extension, Palam, New Delhi, Delhi, 110077",28.5823134,77.0785148
"4QVP+3M6, Mula Gabharu Path, Kahilipara, Guwahati, Assam 781019",26.1426625,91.7840657
"Tower A, Unitech Business Park, Block - F, South City 1, Sector - 41, Gurgaon, Haryana - 122001",28.4579478,77.0680279
"Shop No - B-17 Antriksh Golf View-2, Sector 78, Noida, Uttar Pradesh ",28.5591611,77.3860342
"H. N. 159 C, , Infront Of Amaltaf Banquat Hall, Road No-4, , Ashok Nagar-834002 (Infront Of Amaltaf Banquat Hall)",23.3460914,85.2995394
"C/o Ambay Clinic, Dwarka Sector 23-110077",28.562368,77.046787
"Near, Plot No. 38, Itehara Village, 6 Percent Farmer Plot, Cherry County St, Amrapali Dream Valley, Noida, Uttar Pradesh 201305",28.5874409,77.4218537
"Cribs Hospital, F-2, 40 foot road, Abul fazal enclave ND-25",28.5461247,77.2949183
"alshifa hospital, abul fazal enclave, okhla ND-25",28.5568465,77.2901085
"sharda medical center, abul fazal enclave, okhla",28.5551594,77.2876789
"Viola Hospital, D-57, abul fazal enclave, ND-25",28.55893,77.2917351
"New life multispecialist clinic, block-A,sarita vihar ND-25",28.5363752,77.2919249
"adarsh hospital, A-12, adarsh NagarND-33",24.0792188,73.3709541
"AH ivf center, F-1, 40 foot road, Abul fazal enclave ND-25",28.5431574,77.2979201
"A H IVF Research center, Jamia Nagar, Delhi",28.5431574,77.2979201
